,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,t
3362,4.1766357421875,30.0,0.0205274658203125,14.0,105.391845703125,32.1710205078125,390.1611328125,300.140380859375,29.57763671875,15782.470703125,1.3323974609375,339.306640625,2.3187387084069275,5.820319297113234
1874,10.4937744140625,30.0,0.0051529541015625,36.0,75.272216796875,52.7557373046875,324.0478515625,344.378662109375,25.65185546875,14097.900390625,4.4525146484375,244.970703125,1.0154739403739967,8.449058915939563
2872,-3.7152099609375,40.0,0.0192528076171875,23.0,63.941650390625,11.1297607421875,331.5185546875,261.688232421875,11.56982421875,23524.169921875,3.4527587890625,423.583984375,2.0121816235651666,8.607820404506638
2676,12.7581787109375,20.0,0.008859008789062501,25.0,49.786376953125,51.9500732421875,311.9384765625,215.362548828125,25.61767578125,27310.791015625,4.3267822265625,556.884765625,2.822712160151439,17.966565300580438
705,-1.5911865234375,20.0,0.0142103271484375,23.0,89.967041015625,18.0450439453125,449.2919921875,300.177001953125,29.36279296875,36839.599609375,3.6553955078125,261.669921875,0.8608029705800997,11.328189942639677
894,0.3619384765625,40.0,0.0033841552734375,53.0,57.911376953125,17.6824951171875,340.8935546875,294.976806640625,24.95849609375,19327.392578125,3.9898681640625,566.455078125,0.244864071268577,0.2734243117453617
946,14.1925048828125,20.0,0.0157152099609375,23.0,41.756591796875,58.3685302734375,360.8154296875,248.651123046875,26.97509765625,37491.455078125,2.4200439453125,485.986328125,4.6058781632659915,20.093797283629257
3530,6.8438720703125,20.0,0.021414672851562497,15.0,123.673095703125,39.0997314453125,409.5458984375,299.407958984375,12.69287109375,22681.884765625,0.5523681640625,243.115234375,6.9606250017548446,7.099020257950755
3082,7.8387451171875,30.0,0.017781616210937497,8.0,27.220458984375,18.6761474609375,320.4345703125,201.959228515625,19.35791015625,38487.548828125,4.6002197265625,233.837890625,2.7614552435343365,2.8993077362989874
117,15.7489013671875,30.0,0.0125089111328125,7.0,115.802001953125,25.2557373046875,313.4033203125,285.601806640625,29.06982421875,28358.154296875,0.8074951171875,281.884765625,1.2505594766852113,9.628309209019612
2679,13.4906005859375,30.0,0.0061412353515625,42.0,91.268310546875,30.1568603515625,479.0283203125,214.739990234375,28.05908203125,25274.658203125,3.9093017578125,424.658203125,1.0609229864742344,8.800021170900598
1408,1.5093994140625,30.0,0.018848510742187498,13.0,73.748779296875,58.0462646484375,351.5380859375,221.112060546875,20.84228515625,32635.498046875,2.0562744140625,260.693359375,7.230416938877368,7.356217076917456
749,16.0540771484375,40.0,0.023885375976562498,10.0,135.289306640625,31.7413330078125,321.3623046875,280.767822265625,23.64990234375,24871.826171875,3.3758544921875,367.236328125,4.226195130239676,18.508969355048237
2243,6.5631103515625,30.0,0.0096395263671875,49.0,47.945556640625,9.7735595703125,385.6689453125,281.024169921875,11.14501953125,35894.775390625,4.5172119140625,223.876953125,0.9658111086456728,3.0805466384296807
1507,-2.5616455078125,20.0,0.0031314697265625,107.0,100.853271484375,57.8717041015625,476.6357421875,237.225341796875,19.62646484375,31763.916015625,0.8807373046875,339.697265625,1.126812646941533,9.178799994361956
3260,13.8079833984375,30.0,0.0058941650390625,44.0,125.037841796875,12.9693603515625,347.9248046875,279.852294921875,15.52001953125,18426.513671875,4.4158935546875,237.841796875,0.6136043363387834,4.404710251057889
3435,12.0135498046875,20.0,0.0127952880859375,37.0,57.086181640625,23.6309814453125,489.4775390625,303.033447265625,15.97900390625,20462.646484375,3.9727783203125,497.216796875,2.042380960123685,7.524241936918933
3974,2.5225830078125,20.0,0.0057987060546875,78.0,55.531005859375,40.8721923828125,312.5732421875,266.741943359375,16.77001953125,35294.189453125,2.6226806640625,368.701171875,1.624455224364052,8.279412130098155
100,4.8907470703125,20.0,0.0032886962890625003,49.0,64.735107421875,38.7774658203125,403.1494140625,249.713134765625,24.73876953125,31771.240234375,0.2203369140625,293.994140625,0.6447731461830877,4.778188443512597
3036,16.9268798828125,40.0,0.018062377929687498,13.0,56.324462890625,44.2425537109375,310.1318359375,240.924072265625,25.69580078125,34444.580078125,2.2601318359375,356.005859375,4.888909098944877,8.277978272336304
1022,18.6297607421875,20.0,0.014227172851562499,34.0,53.118896484375,46.0955810546875,370.8740234375,240.045166015625,15.83251953125,35177.001953125,1.0174560546875,593.310546875,6.069338392507589,13.115039975318183
2771,17.4456787109375,30.0,0.020184936523437502,10.0,109.898681640625,16.9842529296875,348.6083984375,341.741943359375,22.33154296875,28695.068359375,1.9451904296875,259.033203125,1.5256233524888319,7.151200703464169
3570,12.7703857421875,20.0,0.0208980712890625,21.0,25.474853515625,31.7547607421875,351.6357421875,344.415283203125,20.44189453125,21524.658203125,0.6890869140625,477.197265625,3.120063293475722,9.685372771610739
3106,14.2047119140625,40.0,0.0145303955078125,30.0,142.652587890625,44.8065185546875,426.2451171875,241.180419921875,15.45166015625,11761.474609375,2.8363037109375,552.685546875,6.214026550405177,9.274943409387088
955,13.0389404296875,20.0,0.009594604492187499,19.0,128.275146484375,33.6212158203125,468.4814453125,334.234619140625,11.23291015625,18807.373046875,4.3048095703125,584.326171875,2.8128675949480457,11.659715250270354
1151,7.0025634765625,20.0,0.0076405029296875,28.0,137.193603515625,42.8863525390625,360.2783203125,224.444580078125,26.54541015625,34993.896484375,0.1422119140625,449.755859375,1.7557379232556805,10.603829006548077
948,11.1834716796875,20.0,0.0115880126953125,12.0,28.966064453125,43.5845947265625,492.2119140625,282.086181640625,12.30224609375,35653.076171875,3.9349365234375,539.306640625,4.715213420948993,5.566738234403283
